SDFB Group ID,Name,Description,Start Year Type,Start Year,End Year Type,End Year,Members List (Name with SDFB Person ID)
6,Contributors to A Mirror for Magistrates,Contributors to A Mirror for Magistrates,IN,1553,IN,1563,"[""William Baldwin (1453)""]"
7,Marian martyrs,Marian martyrs,CA,1555,CA,1558,"[""John Rogers (1500)""]"
26,Cavalier poets,Cavalier poets,BF/IN,1640,AF/IN,1660,"[""Richard Lovelace (1617)"", ""Clement Barksdale (1609)""]"
58,Puritans,Puritans,CA,1532,AF,1700,"[""Nathan Paget (1615)"", ""Edward Hake (1564)"", ""Elizabeth Jocelin (1596)"", ""Mildred Cecil (1526)"", ""Joseph Rowlandson (1635)"", ""Mary Rowlandson (1637)""]"
13,Castalian band,Castalian band,IN,1584,IN,1603,"[""Robert Ayton (1570)""]"
10,Participants in the vestiarian controversy,Participants in the vestiarian controversy,CA,1563,CA,1570,"[""Thomas Sampson (1517)""]"
11,Jesuit missionaries to England,Jesuit missionaries to England,IN,1540,CA,1700,"[""Henry Garnett (1555)"", ""Jasper Heywood (1535)"", ""William Weston (1549)"", ""Edmund Campion (1540)"", ""Robert Southwell (1561)"", ""Robert Persons (1546)"", ""Ralph Emerson (1553)""]"
20,Pilgrim Fathers,Pilgrim Fathers,CA,1620,CA,1620,"[""Richard Clifton (1553)"", ""William Brewster (1566)"", ""Myles Standish (1584)""]"
21,Sons of Ben,Sons of Ben,CA,1620,CA,1629,"[""Benjamin Jonson (1572)""]"
29,Westminster assembly,Westminster assembly,IN,1643,IN,1652,"[""John Arrowsmith (1602)""]"
30,Invisible College,Invisible College,IN,1646,IN,1647,"[""Robert Boyle (1627)""]"
32,Kirk party,Kirk party,IN,1648,IN,1651,"[""Patrick Gillespie (1617)""]"
33,Protectoral council,Protectoral council,IN,1653,IN,1659,"[""Anthony Ashley Cooper (1621)""]"
35,Major-generals,Major-generals,IN,1655,IN,1657,"[""Charles Worsley (1622)""]"
37,Participants in the Savoy conference,Participants in the Savoy conference,IN,1661,IN,1661,"[""Accepted Frewen (1588)""]"
38,Participants in the Pentland rising,Participants in the Pentland rising,IN,1666,IN,1666,"[""James Wallace (1568)""]"
42,Immortal seven,Immortal seven,IN,1688,IN,1688,"[""William Cavendish (1641)""]"
46,Darien investors and colonists,Darien investors and colonists,IN,1695,IN,1707,"[""William Paterson (1658)"", ""Anne Hamilton (1632)"", ""Hugh Cunningham (1642)""]"
16,Metaphysical poets,Metaphysical poets,CA,1600,CA,1690,"[""John Donne (1572)"", ""George Herbert (1593)"", ""Henry Vaughan (1621)"", ""Richard Crashaw (1612)"", ""Andrew Marvell (1621)"", ""Aurelian Townshend (1583)""]"
48,Ranters,Ranters,CA,1649,CA,1660,"[""Jacob Bothumley (1613)""]"
51,Muggletonians,Muggletonians,CA,1651,AF,1800,"[""Alexander Delamaine (1631)""]"
47,Kit-Cat Club,Kit-Cat Club,IN,1696,IN,1720,"[""Charles Sackville (1643)"", ""Joseph Addison (1672)"", ""William Congreve (1670)"", ""Richard Steele (1672)""]"
45,Whig junto,Whig junto,CA,1694,CA,1716,"[""John Somers (1651)""]"
54,Erastians,Erastians,CA,1643,CA,1649,"[""Patrick Adamson (1537)""]"
5,Contributors to the metrical psalter of 1562,Contributors to the metrical psalter of 1562,CA,1549,IN,1562,"[""Thomas Sternhold (1439)""]"
76,Signatories of the Death Warrant of Charles I,59 signatories of Charles' death warrant; a subset of the Group 'Regicides',IN,1649,IN,1649,"[""Thomas Chaloner (1595)""]"
12,Members of the Dedham conference,Members of the Dedham conference,IN,1582,IN,1589,"[""Edmund Chapman (1537)""]"
53,Presbyterians,Presbyterians,CA,1560,AF,1800,"[""John Abernethy (1680)"", ""John Knox (1514)""]"
55,Independents,Independents,BF,1642,AF,1660,"[""Nathaniel Homes (1599)""]"
40,Green Ribbon Club,Green Ribbon Club,CA,1674,CA,1683,"[""Nathaniel Wade (1608)"", ""Henry Ireton (1611)""]"
3,Monastic visitors in England and Wales,Monastic visitors in England and Wales,IN,1535,IN,1536,"[""Richard Layton (1498)""]"
83,Queen Anne's Men,A theatrical troupe formerly known as Worcester's Men,IN,1603,IN,1619,"[""Richard Perkins (1579)""]"
