SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100060917,10002849,10012976,19,19,AF/IN,,,1555,BF/IN,,,1629
100060918,10002849,10013132,24,24,AF/IN,,,1568,BF/IN,,,1629
100060920,10002850,10003281,17,17,AF/IN,,,1518,BF/IN,,,1537
100060923,10002850,10004410,13,13,AF/IN,,,1518,BF/IN,,,1586
100060924,10002850,10004478,17,17,AF/IN,,,1518,BF/IN,,,1539
100060926,10002850,10004684,19,19,AF/IN,,,1518,BF/IN,,,1555
100060928,10002850,10005217,15,15,AF/IN,,,1537,BF/IN,,,1554
100060929,10002850,10005641,64,64,AF/IN,,,1518,BF/IN,,,1572
100060931,10002850,10005883,28,28,AF/IN,,,1546,BF/IN,,,1604
100060932,10002850,10005974,21,21,AF/IN,,,1518,BF/IN,,,1587
100060934,10002850,10006282,44,44,AF/IN,,,1563,BF/IN,,,1604
100060935,10002850,10006635,13,13,AF/IN,,,1549,BF/IN,,,1602
100060937,10002850,10006959,37,37,AF/IN,,,1518,BF/IN,,,1540
100060938,10002850,10006992,44,44,AF/IN,,,1546,BF/IN,,,1604
100060940,10002850,10006994,48,48,AF/IN,,,1540,BF/IN,,,1603
100060942,10002850,10009320,30,30,AF/IN,,,1518,BF/IN,,,1575
100060943,10002850,10009335,20,20,AF/IN,,,1518,BF/IN,,,1575
100060945,10002850,10009358,19,19,AF/IN,,,1518,BF/IN,,,1547
100060948,10002850,10010671,13,13,AF/IN,,,1530,BF/IN,,,1581
100060949,10002850,10010840,23,23,AF/IN,,,1550,BF/IN,,,1603
100060951,10002850,10011324,22,22,AF/IN,,,1518,BF/IN,,,1559
100060953,10002850,10012116,24,24,AF/IN,,,1537,BF/IN,,,1553
100060955,10002850,10012119,42,42,AF/IN,,,1518,BF/IN,,,1547
100060956,10002850,10012122,13,13,AF/IN,,,1518,BF/IN,,,1558
100060957,10002850,10012421,27,27,AF/IN,,,1518,BF/IN,,,1561
100060959,10002850,10012493,13,13,AF/IN,,,1577,BF/IN,,,1604
100060960,10002850,10012494,47,47,AF/IN,,,1560,BF/IN,,,1604
100060962,10002850,10012689,28,28,AF/IN,,,1518,BF/IN,,,1551
100060964,10002850,10012691,15,15,AF/IN,,,1567,BF/IN,,,1604
100060965,10002850,10013182,16,16,AF/IN,,,1521,BF/IN,,,1554
100060968,10002851,10010358,23,23,AF/IN,,,1663,BF/IN,,,1723
100060970,10002851,10012481,23,23,AF/IN,,,1663,BF/IN,,,1700
100060974,10002852,10003693,20,20,AF/IN,,,1585,BF/IN,,,1614
100060975,10002852,10003913,28,28,AF/IN,,,1579,BF/IN,,,1614
100060977,10002852,10006686,24,24,AF/IN,,,1579,BF/IN,,,1614
100060978,10002852,10006720,61,61,AF/IN,,,1579,BF/IN,,,1614
100060980,10002852,10007673,11,11,AF/IN,,,1589,BF/IN,,,1614
100060982,10002852,10007980,49,49,AF/IN,,,1579,BF/IN,,,1593
100060983,10002852,10008465,42,42,AF/IN,,,1579,BF/IN,,,1614
100060985,10002852,10008761,25,25,AF/IN,,,1579,BF/IN,,,1614
100060986,10002852,10009179,54,54,AF/IN,,,1581,BF/IN,,,1613
100060988,10002852,10009484,44,44,AF/IN,,,1579,BF/IN,,,1614
100060989,10002852,10010090,28,28,AF/IN,,,1589,BF/IN,,,1614
100060991,10002852,10011273,13,13,AF/IN,,,1579,BF/IN,,,1614
100060995,10002852,10012493,14,14,AF/IN,,,1579,BF/IN,,,1614
100060996,10002852,10012494,41,41,AF/IN,,,1579,BF/IN,,,1614
100060997,10002852,10012598,78,78,AF/IN,,,1579,BF/IN,,,1592
100060999,10002853,10002854,15,15,AF/IN,,,1480,BF/IN,,,1502
100061000,10002853,10002971,27,27,AF/IN,,,1435,BF/IN,,,1502
100061002,10002853,10003973,22,22,AF/IN,,,1450,BF/IN,,,1502
100061003,10002853,10006991,16,16,AF/IN,,,1427,BF/IN,,,1502
100061005,10002853,10012315,11,11,AF/IN,,,1470,BF/IN,,,1502
100061007,10002854,10002971,66,66,AF/IN,,,1480,BF/IN,,,1523
100061008,10002854,10003341,35,35,AF/IN,,,1480,BF/IN,,,1521
100061010,10002854,10004154,23,23,AF/IN,,,1480,BF/IN,,,1521
100061013,10002854,10008475,54,54,AF/IN,,,1480,BF/IN,,,1523
100061014,10002854,10009754,56,56,AF/IN,,,1480,BF/IN,,,1503
100061016,10002854,10011148,71,71,AF/IN,,,1480,BF/IN,,,1523
100061018,10002854,10012119,76,76,AF/IN,,,1491,BF/IN,,,1523
100061019,10002854,10013079,14,14,AF/IN,,,1480,BF/IN,,,1523
100061021,10002855,10002904,28,28,AF/IN,,,1527,BF/IN,,,1574
100061022,10002855,10003747,40,40,AF/IN,,,1532,BF/IN,,,1588
100061024,10002855,10010073,19,19,AF/IN,,,1549,BF/IN,,,1591
100061025,10002855,10010190,26,26,AF/IN,,,1527,BF/IN,,,1591
100061027,10002855,10010684,18,18,AF/IN,,,1527,BF/IN,,,1588
100061029,10002856,10003149,50,50,AF/IN,,,1658,BF/IN,,,1664
100061030,10002857,10002858,70,70,AF/IN,,,1577,BF/IN,,,1607
100061033,10002857,10005845,13,13,AF/IN,,,1606,BF/IN,,,1607
100061035,10002857,10009645,57,57,AF/IN,,,1555,BF/IN,,,1607
100061039,10002858,10003677,69,69,AF/IN,,,1577,BF/IN,,,1617
100061040,10002858,10004957,38,38,AF/IN,,,1577,BF/IN,,,1617
100061042,10002858,10005826,17,17,AF/IN,,,1591,BF/IN,,,1617
100061043,10002858,10006057,43,43,AF/IN,,,1577,BF/IN,,,1617
100061045,10002858,10006072,13,13,AF/IN,,,1577,BF/IN,,,1617
100061047,10002858,10006216,30,30,AF/IN,,,1617,BF/IN,,,1617
100061048,10002858,10006343,16,16,AF/IN,,,1577,BF/IN,,,1617
100061050,10002858,10006720,45,45,AF/IN,,,1577,BF/IN,,,1617
100061051,10002858,10006747,13,13,AF/IN,,,1591,BF/IN,,,1617
100061053,10002858,10008030,36,36,AF/IN,,,1577,BF/IN,,,1617
100061054,10002858,10008031,20,20,AF/IN,,,1577,BF/IN,,,1617
100061056,10002858,10008472,54,54,AF/IN,,,1577,BF/IN,,,1617
100061059,10002858,10009645,35,35,AF/IN,,,1577,BF/IN,,,1614
100061061,10002858,10009725,33,33,AF/IN,,,1577,BF/IN,,,1617
100061062,10002858,10010012,35,35,AF/IN,,,1577,BF/IN,,,1617
100061064,10002858,10010507,61,61,AF/IN,,,1598,BF/IN,,,1617
100061065,10002858,10010754,25,25,AF/IN,,,1577,BF/IN,,,1609
100061067,10002858,10011092,13,13,AF/IN,,,1619,BF/IN,,,1617
100061068,10002858,10011518,49,49,AF/IN,,,1577,BF/IN,,,1617
100061070,10002858,10011816,54,54,AF/IN,,,1578,BF/IN,,,1617
100061072,10002858,10011852,69,69,AF/IN,,,1589,BF/IN,,,1617
100061073,10002858,10012772,28,28,AF/IN,,,1577,BF/IN,,,1617
100061075,10002858,10013046,15,15,AF/IN,,,1577,BF/IN,,,1605
100061078,10002859,10003927,32,32,AF/IN,,,1604,BF/IN,,,1651
100061079,10002859,10004266,13,13,AF/IN,,,1580,BF/IN,,,1631
100061081,10002859,10005124,25,25,AF/IN,,,1637,BF/IN,,,1651
100061083,10002859,10005843,22,22,AF/IN,,,1580,BF/IN,,,1630
100061084,10002859,10006720,39,39,AF/IN,,,1580,BF/IN,,,1637
100061086,10002859,10007944,47,47,AF/IN,,,1580,BF/IN,,,1651
100061087,10002859,10008337,17,17,AF/IN,,,1592,BF/IN,,,1641
100061089,10002859,10009597,56,56,AF/IN,,,1598,BF/IN,,,1651
100061090,10002859,10009646,12,12,AF/IN,,,1586,BF/IN,,,1638
100061092,10002859,10011670,83,83,AF/IN,,,1600,BF/IN,,,1649
100061094,10002859,10012794,54,54,AF/IN,,,1590,BF/IN,,,1645
100061095,10002860,10005534,12,12,AF/IN,,,1547,BF/IN,,,1596
100061098,10002860,10005537,13,13,AF/IN,,,1592,BF/IN,,,1596
100061100,10002861,10003394,41,41,AF/IN,,,1690,BF/IN,,,1736
100061104,10002861,10009502,31,31,AF/IN,,,1693,BF/IN,,,1736
100061105,10002861,10009668,55,55,AF/IN,,,1690,BF/IN,,,1736
100061107,10002862,10004684,45,45,AF/IN,,,1510,BF/IN,,,1555
100061108,10002862,10008124,45,45,AF/IN,,,1510,BF/IN,,,1574
