SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100200001,10011673,10010388,100,100,AF,"",,1596,IN,"",,1644
100200006,10050002,10006423,100,100,AF/IN,"",,1620,BF/IN,"",,1673
100200007,10050002,10002650,85,85,AF/IN,"",,1615,BF/IN,"",,1664
100200008,10006423,10009206,95,95,CA,"",,1660,BF/IN,"",,1681
100200020,10050007,10050008,100,100,AF/IN,"",,1507,BF/IN,"",,1545
100200015,10002021,10011091,80,80,IN,"",,1576,IN,"",,1576
100200022,10050015,10012353,100,100,AF/IN,"",,1664,BF/IN,"",,1709
100200037,10050035,10001681,81,86,BF,"",,1586,BF/IN,"",,1586
100200050,10050041,10000483,85,85,AF/IN,"",,1518,BF/IN,"",,1552
100200046,10002284,10002285,50,75,AF/IN,"",,1515,BF/IN,"",,1580
100200045,10050026,10010068,88,97,BF/IN,"",,1690,BF/IN,"",,1722
100200049,10050040,10000188,77,77,IN,"",,1573,BF/IN,"",,1605
100200048,10050039,10002912,75,80,AF/IN,"",,1578,BF/IN,"",,1606
100200058,10050045,10004809,91,93,IN,"",,1583,BF/IN,"",,1603
100200069,10050050,10006627,100,100,AF/IN,"",,1596,BF/IN,"",,1622
100200055,10050043,10006246,81,81,BF/IN,"",,1599,BF/IN,"",,1673
100200062,10003469,10011428,90,90,BF/IN,"",,1600,BF/IN,February,25,1601
100200067,10050048,10006627,83,90,AF/IN,"",,1596,BF/IN,"",,1622
100200057,10050044,10004806,90,94,AF,"",,1615,BF/IN,"",,1650
100200053,10050043,10006279,93,93,AF/IN,"",,1588,BF/IN,"",,1673
100200074,10050053,10050040,72,72,AF/IN,"",,1573,BF/IN,"",,1605
100200056,10050044,10004809,95,100,IN,"",,1583,BF/IN,"",,1625
100200060,10006249,10002253,82,82,BF/IN,December,1,1608,BF/IN,August,23,1632
100200059,10006249,10006279,92,100,AF/IN,May,31,1590,BF/IN,May,28,1626
100200064,10050046,10012117,47,76,AF/IN,"",,1576,BF/IN,"",,1603
100200054,10050043,10002253,87,87,BF/IN,December,1,1608,BF/IN,December,3,1668
100200066,10008130,10002249,64,67,AF/IN,"",,1573,BF/IN,"",,1612
100200070,10050051,10003665,75,75,BF/IN,January,,1583,BF/IN,"",,1596
100200071,10050052,10003665,84,84,BF/IN,July,4,1569,IN,"",,1583
100200073,10050053,10000188,78,95,IN,"",,1569,BF/IN,"",,1605
100200068,10050049,10006627,95,100,AF/IN,"",,1596,BF/IN,"",,1602
100200035,10012976,10012977,14,14,AF/IN,"",,1523,BF/IN,"",,1581
100200065,10002249,10013271,83,91,AF/IN,"",,1574,BF/IN,"",,1612
100200079,10050030,10050032,95,100,BF/IN,February,2,1585,BF/IN,August,11,1596
100200114,10050091,10001922,100,100,AF/IN,"",,1564,BF/IN,"",,1636
100200113,10050091,10001924,100,100,AF/IN,"",,1561,BF/IN,"",,1610
100200026,10050019,10004275,94,97,AF/IN,"",,1570,BF/IN,"",,1582
100200080,10001605,10012117,90,90,AF/IN,"",,1564,BF/IN,"",,1603
100200088,10050043,10002249,96,96,BF/IN,December,1,1608,BF/IN,December,3,1668
100200089,10050043,10006275,50,50,AF/IN,"",,1588,BF/IN,June,3,1640
100200092,10050065,10050030,87,91,IN,"",,1585,IN,"",,1596
100200096,10050075,10000541,84,92,AF/IN,"",,1529,BF,"",,1613
100200097,10050072,10010226,59,67,IN,"",,1681,BF/IN,"",,1727
100200093,10050065,10050032,85,92,IN,"",,1585,BF/IN,"",,1649
100200094,10050065,10010937,93,95,IN,"",,1583,BF/IN,"",,1616
100200095,10050065,10005658,100,100,IN,"",,1583,BF/IN,"",,1623
100200101,10050077,10012117,80,82,BF,"",,1587,CA,"",,1565
100200112,10050091,10000068,100,100,AF/IN,"",,1558,BF/IN,"",,1569
100200105,10050044,10050045,92,92,AF/IN,"",,1573,BF/IN,"",,1603
100200099,10050076,10011776,85,86,CA,"",,1527,IN,"",,1528
100200109,10050088,10001223,82,75,CA,"",,1611,BF/IN,"",,1613
100200102,10050078,10011943,80,81,AF/IN,"",,1534,BF/IN,"",,1580
100200104,10050078,10012946,78,92,IN,"",,1580,IN,"",,1596
100200111,10050090,10008309,100,100,BF/IN,"",,1656,IN,February,3,1658
100200110,10050089,10008309,100,100,IN,June,,1642,IN,May,,1652
100200117,10050093,10008812,100,100,AF/IN,"",,1642,BF/IN,"",,1679
100200125,10050099,10009754,76,76,BF/IN,"",,1469,AF/IN,"",,1475
100200116,10050093,10050092,100,100,AF/IN,"",,1610,BF/IN,"",,1642
100200119,10050095,10007673,88,88,IN,May,11,1630,BF/IN,"",,1658
100200123,10050096,10005525,82,85,BF/IN,July,17,1682,BF/IN,October,25,1692
100200129,10003644,10011093,100,100,BF,"",,1591,BF/IN,"",,1626
100200115,10050092,10008812,100,100,IN,"",,1642,IN,"",,1642
100200120,10050096,10000163,87,87,IN,"",,1631,IN,"",,1669
100200134,10011784,10010166,50,50,AF/IN,"",,1512,BF/IN,"",,1558
100200135,10050143,10009351,100,100,AF/IN,"",,1512,BF/IN,"",,1548
